id,subject,probA,probB,probC,probD,result,answer,time,split
1,anatomy,0.418212890625,0.0009002685546875,0.15625,0.4248046875,False,C,0.010430574417114258,mmlu_2
6,anatomy,0.01019287109375,0.63525390625,0.350830078125,0.0035495758056640625,False,D,0.010864496231079102,mmlu_2
11,anatomy,0.0035724639892578125,0.00010704994201660156,0.94482421875,0.05126953125,True,C,0.010796785354614258,mmlu_2
16,anatomy,0.2109375,0.501953125,0.0138092041015625,0.27294921875,False,D,0.010368108749389648,mmlu_2
21,anatomy,1.0,5.960464477539062e-07,7.748603820800781e-07,3.5762786865234375e-07,True,A,0.010186433792114258,mmlu_2
26,anatomy,0.0001518726348876953,8.821487426757812e-06,0.01132965087890625,0.98828125,True,D,0.009814023971557617,mmlu_2
31,anatomy,0.99609375,0.0034542083740234375,2.872943878173828e-05,0.0004031658172607422,False,B,0.010053157806396484,mmlu_2
36,anatomy,1.0,1.7881393432617188e-07,1.0132789611816406e-06,5.960464477539062e-07,False,C,0.010829448699951172,mmlu_2
41,anatomy,0.0526123046875,0.947265625,1.4662742614746094e-05,3.975629806518555e-05,False,D,0.010873794555664062,mmlu_2
46,anatomy,1.0,1.7881393432617188e-06,1.9550323486328125e-05,3.820657730102539e-05,True,A,0.010248899459838867,mmlu_2
51,anatomy,0.414306640625,0.013214111328125,0.01474761962890625,0.5576171875,False,B,0.010956287384033203,mmlu_2
56,anatomy,0.002086639404296875,0.00010889768600463867,0.9921875,0.00585174560546875,True,C,0.011193275451660156,mmlu_2
61,anatomy,0.986328125,3.0994415283203125e-06,0.01363372802734375,7.092952728271484e-06,True,A,0.010651350021362305,mmlu_2
66,anatomy,4.947185516357422e-06,1.0132789611816406e-06,7.140636444091797e-05,1.0,True,D,0.010000467300415039,mmlu_2
71,anatomy,0.982421875,4.887580871582031e-06,0.00031685829162597656,0.0174407958984375,False,C,0.009881019592285156,mmlu_2
76,anatomy,0.0108184814453125,0.98876953125,0.00013828277587890625,7.462501525878906e-05,True,B,0.010135889053344727,mmlu_2
81,anatomy,0.21337890625,0.0135345458984375,0.392578125,0.38037109375,False,D,0.010782480239868164,mmlu_2
86,anatomy,0.99755859375,0.0023975372314453125,2.8133392333984375e-05,2.7060508728027344e-05,False,B,0.010466814041137695,mmlu_2
1,clinical-knowledge,0.00530242919921875,0.99462890625,1.0311603546142578e-05,8.52346420288086e-06,True,B,0.010281085968017578,mmlu_2
6,clinical-knowledge,4.291534423828125e-05,0.99853515625,0.00010704994201660156,0.0013141632080078125,True,B,0.010746479034423828,mmlu_2
11,clinical-knowledge,1.2099742889404297e-05,1.4901161193847656e-06,1.0,7.748603820800781e-07,True,C,0.010284900665283203,mmlu_2
16,clinical-knowledge,0.0220489501953125,0.311767578125,0.6396484375,0.0268096923828125,False,A,0.010413169860839844,mmlu_2
21,clinical-knowledge,0.00021147727966308594,3.731250762939453e-05,5.060434341430664e-05,0.99951171875,True,D,0.010943889617919922,mmlu_2
26,clinical-knowledge,0.73486328125,0.200927734375,0.064208984375,7.289648056030273e-05,True,A,0.010543346405029297,mmlu_2
31,clinical-knowledge,0.0012350082397460938,2.008676528930664e-05,0.00034546852111816406,0.99853515625,True,D,0.009921789169311523,mmlu_2
36,clinical-knowledge,0.994140625,0.004978179931640625,0.0007457733154296875,0.0002741813659667969,False,B,0.010823726654052734,mmlu_2
41,clinical-knowledge,0.059783935546875,0.0046844482421875,0.00021564960479736328,0.935546875,False,B,0.010663032531738281,mmlu_2
46,clinical-knowledge,0.0018091201782226562,9.590387344360352e-05,0.99755859375,0.0005345344543457031,True,C,0.010406017303466797,mmlu_2
51,clinical-knowledge,0.97314453125,0.0041046142578125,0.0223541259765625,0.00021922588348388672,False,B,0.010069608688354492,mmlu_2
56,clinical-knowledge,0.00041413307189941406,0.99951171875,1.800060272216797e-05,3.045797348022461e-05,True,B,0.009966373443603516,mmlu_2
61,clinical-knowledge,1.6689300537109375e-05,4.0531158447265625e-06,1.0,9.179115295410156e-06,True,C,0.00989389419555664,mmlu_2
66,clinical-knowledge,0.962890625,2.8789043426513672e-05,0.01331329345703125,0.0235595703125,True,A,0.010341644287109375,mmlu_2
71,clinical-knowledge,0.00038814544677734375,0.99755859375,3.4749507904052734e-05,0.0021152496337890625,True,B,0.010065317153930664,mmlu_2
76,clinical-knowledge,0.0006875991821289062,0.9990234375,0.00013434886932373047,4.00543212890625e-05,False,C,0.01014089584350586,mmlu_2
81,clinical-knowledge,0.0034236907958984375,0.87109375,0.12353515625,0.0018911361694335938,True,B,0.010188817977905273,mmlu_2
86,clinical-knowledge,0.0022830963134765625,0.0015935897827148438,0.000308990478515625,0.99560546875,False,B,0.010538816452026367,mmlu_2
