id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
1,anatomy,0.11279296875,0.83203125,0.0162353515625,0.038818359375,True,B,0.03533482551574707,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549700897, 467523489549929649, 467523489549701098, 467523489549926586, 467523489549972797]","[0.744665265083313, 0.7299352288246155, 0.7220221757888794, 0.7203654646873474, 0.7188203930854797]"
6,anatomy,0.189453125,0.11474609375,0.034912109375,0.66015625,True,D,0.03358101844787598,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[467572377850289427, 467572377850638877, 467572377850345800, 467572377850759689, 467523489549708086]","[0.7787653207778931, 0.7701853513717651, 0.7646536827087402, 0.7643030881881714, 0.7636218070983887]"
11,anatomy,0.0029754638671875,0.99609375,0.000751495361328125,0.0002155303955078125,True,B,0.03432273864746094,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850639174, 467572377850632372, 467572377850341964, 467572377850321911, 467572377850720973]","[0.7768452167510986, 0.7705783247947693, 0.7661002278327942, 0.7647688388824463, 0.7622950077056885]"
16,anatomy,0.98828125,0.005523681640625,0.007537841796875,0.00011444091796875,True,A,0.030326128005981445,mmlu_2,"['TEXT', 'STAT', 'STAT', 'STAT', 'STAT']","[467523489549980614, 467572377850625444, 467572377850352681, 467572377850240132, 467572377850255437]","[0.765302300453186, 0.7489199042320251, 0.7450045943260193, 0.7414734363555908, 0.7386494874954224]"
21,anatomy,0.1904296875,0.5859375,0.2158203125,0.0089111328125,False,C,0.044159650802612305,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850774061, 467572377850317517, 467572377850670921, 467572377850255241, 467572377850661877]","[0.7652149200439453, 0.760330319404602, 0.7598406672477722, 0.7594360113143921, 0.7562415599822998]"
26,anatomy,0.71875,0.2333984375,0.016845703125,0.031494140625,False,B,0.0326082706451416,mmlu_2,"['STAT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[467572377850399348, 467523489549676380, 467523489549676831, 467572377850783807, 467523489549676834]","[0.8044314980506897, 0.7933375835418701, 0.7917062640190125, 0.7895264029502869, 0.7793954610824585]"
31,anatomy,0.006683349609375,0.0010223388671875,0.9921875,0.0002593994140625,True,C,0.05855274200439453,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549970650, 467523489549692010, 467523489549977173, 467523489549997135, 467523489549949051]","[0.7577738165855408, 0.742315948009491, 0.7301732897758484, 0.7191985249519348, 0.7187026739120483]"
36,anatomy,0.0115966796875,0.006195068359375,0.00189208984375,0.98046875,True,D,0.03553938865661621,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[467572377850701178, 467572377850640709, 467572377850266140, 467572377850389183, 467523489549990129]","[0.8153572678565979, 0.8040555715560913, 0.7995882034301758, 0.7986657619476318, 0.786706268787384]"
41,anatomy,0.021484375,0.0030975341796875,0.0029144287109375,0.97265625,True,D,0.04280257225036621,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549699704, 467523489549699698, 467523489549699639, 467523489549699700, 467523489549699696]","[0.824678897857666, 0.8240439891815186, 0.8060381412506104, 0.8050217628479004, 0.8035444617271423]"
46,anatomy,0.0047607421875,0.003936767578125,0.0257568359375,0.96484375,True,D,0.03270673751831055,mmlu_2,"['STAT', 'STAT', 'STAT', 'TEXT', 'STAT']","[467572377850321974, 467572377850357339, 467572377850635985, 467523489549676550, 467572377850705056]","[0.8210439682006836, 0.8198868036270142, 0.8070860505104065, 0.7981988191604614, 0.7935856580734253]"
51,anatomy,0.033203125,0.04541015625,0.91015625,0.009521484375,True,C,0.032544612884521484,mmlu_2,"['STAT', 'TEXT', 'STAT', 'STAT', 'TEXT']","[467572377850323610, 467523489549698333, 467572377850273736, 467572377850299562, 467523489549674272]","[0.8170328736305237, 0.8107291460037231, 0.8061477541923523, 0.801589846611023, 0.7970136404037476]"
56,anatomy,0.3671875,0.32421875,0.1533203125,0.1533203125,True,A,0.04228639602661133,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549676921, 467523489549676551, 467523489549676525, 467523489549676549, 467523489549676547]","[0.7716524004936218, 0.7603933811187744, 0.7394659519195557, 0.7388737201690674, 0.7301294207572937]"
61,anatomy,0.14453125,0.83203125,0.00494384765625,0.0162353515625,False,D,0.03191375732421875,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[467572377850788641, 467572377850705056, 467572377850788640, 467572377850752040, 467523489549676538]","[0.821275532245636, 0.8036623001098633, 0.7945908308029175, 0.7931191325187683, 0.7887041568756104]"
66,anatomy,0.97265625,0.0167236328125,0.00372314453125,0.0084228515625,True,A,0.044286251068115234,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850705036, 467572377850409316, 467572377850365657, 467572377850365658, 467572377850365656]","[0.82444167137146, 0.8061915040016174, 0.7970810532569885, 0.7872841358184814, 0.7839071154594421]"
71,anatomy,0.005218505859375,0.0004024505615234375,0.000850677490234375,0.9921875,True,D,0.03262472152709961,mmlu_2,"['TEXT', 'TEXT', 'STAT', 'STAT', 'TEXT']","[467523489549698769, 467523489549698733, 467572377850300486, 467572377850389751, 467523489549700988]","[0.77946537733078, 0.7765600085258484, 0.7746398448944092, 0.7698527574539185, 0.7683272957801819]"
76,anatomy,0.2109375,0.0390625,0.69140625,0.056884765625,True,C,0.030028343200683594,mmlu_2,"['STAT', 'TEXT', 'STAT', 'STAT', 'STAT']","[467572377850677599, 467523489550004885, 467572377850354582, 467572377850354548, 467572377850370720]","[0.717893660068512, 0.7071343660354614, 0.7041066288948059, 0.7005846500396729, 0.6971928477287292]"
81,anatomy,0.41796875,0.1123046875,0.41796875,0.052978515625,False,C,0.03268694877624512,mmlu_2,"['STAT', 'TEXT', 'STAT', 'STAT', 'TEXT']","[467572377850757178, 467523489549676873, 467572377850748102, 467572377850392692, 467523489549943195]","[0.7805357575416565, 0.7769948244094849, 0.7742001414299011, 0.7725771069526672, 0.7720487713813782]"
86,anatomy,0.043701171875,0.1259765625,0.82421875,0.00592041015625,True,C,0.029757261276245117,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549984415, 467523489549958550, 467523489549713905, 467523489549713903, 467523489549678181]","[0.7472776770591736, 0.730419397354126, 0.7186411023139954, 0.7176411747932434, 0.7167621850967407]"
1,clinical-knowledge,0.326171875,0.287109375,0.09912109375,0.287109375,False,B,0.027837753295898438,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850322665, 467572377850248314, 467572377850322702, 467572377850396140, 467572377850645695]","[0.7351269125938416, 0.7251579165458679, 0.7246893644332886, 0.7112197875976562, 0.7097596526145935]"
6,clinical-knowledge,0.032470703125,0.0135498046875,0.94921875,0.004974365234375,True,C,0.031967878341674805,mmlu_2,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[467572377850665239, 467572377850767263, 467572377850282627, 467523489549980735, 467523489549676013]","[0.7593961954116821, 0.7527059316635132, 0.7489941120147705, 0.7417753338813782, 0.7375229001045227]"
