id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
4,anatomy,0.00335693359375,0.002166748046875,0.9921875,0.0015869140625,True,C,0.09450006484985352,mmlu_5,"['STAT', 'STAT', 'TEXT', 'PBMD', 'STAT']","[468043370482555192, 468043370482555042, 468043370482422929, 468043370483294781, 468043370482858793]","[0.7676619291305542, 0.78636234998703, 0.7925456762313843, 0.7747400999069214, 0.7683365345001221]"
9,anatomy,0.00180816650390625,0.0004024505615234375,0.0021820068359375,0.99609375,True,D,0.11075329780578613,mmlu_5,"['STAT', 'TEXT', 'TEXT', 'STAT', 'STAT']","[468043370482856332, 468043370482388613, 468043370482395145, 468043370482845745, 468043370483066087]","[0.7418085336685181, 0.7545221447944641, 0.7265996336936951, 0.7425207495689392, 0.7302488684654236]"
14,anatomy,0.00150299072265625,0.00040435791015625,0.99609375,0.00040435791015625,True,C,0.09608817100524902,mmlu_5,"['STAT', 'STAT', 'STAT', 'TEXT', 'STAT']","[468043370482555928, 468043370483028527, 468043370482844084, 468043370482369474, 468043370482844083]","[0.781240701675415, 0.777508020401001, 0.7938343286514282, 0.7679709196090698, 0.7339865565299988]"
19,anatomy,0.033447265625,0.033447265625,0.76171875,0.169921875,True,C,0.1212000846862793,mmlu_5,"['PBMD', 'STAT', 'TEXT', 'STAT', 'STAT']","[468043370483649840, 468043370482503564, 468043370482395803, 468043370482503587, 468043370482821200]","[0.7936744689941406, 0.779664158821106, 0.7691852450370789, 0.7801108956336975, 0.7810307145118713]"
24,anatomy,0.80078125,0.1572265625,0.031005859375,0.01141357421875,True,A,0.12398910522460938,mmlu_5,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[468043370483321214, 468043370484007772, 468043370483754761, 468043370483559482, 468043370482440471]","[0.7749378085136414, 0.7757183313369751, 0.7783676385879517, 0.7721296548843384, 0.79278564453125]"
29,anatomy,0.00726318359375,0.039306640625,0.94921875,0.0032196044921875,True,C,0.10346817970275879,mmlu_5,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482507193, 468043370483006884, 468043370482775574, 468043370483031766, 468043370483016598]","[0.7687119245529175, 0.739284873008728, 0.718706488609314, 0.7253199219703674, 0.7127349376678467]"
34,anatomy,0.04150390625,0.94140625,0.0118408203125,0.0038604736328125,False,A,0.10666632652282715,mmlu_5,"['STAT', 'STAT', 'PBMD', 'TEXT', 'TEXT']","[468043370482933098, 468043370482933104, 468043370483471253, 468043370482461865, 468043370482493986]","[0.7176940441131592, 0.7069499492645264, 0.7279540300369263, 0.6840764284133911, 0.6998956799507141]"
39,anatomy,0.0283203125,0.828125,0.08203125,0.06005859375,False,C,0.10053038597106934,mmlu_5,"['STAT', 'PBMD', 'STAT', 'STAT', 'STAT']","[468043370482795757, 468043370483169251, 468043370482778513, 468043370482978294, 468043370482939560]","[0.8079542517662048, 0.8247632384300232, 0.782878041267395, 0.7945544719696045, 0.8018531799316406]"
44,anatomy,0.291015625,0.07373046875,0.6171875,0.0174560546875,False,A,0.1263723373413086,mmlu_5,"['TEXT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468043370482393977, 468043370482783644, 468043370482524486, 468043370482393980, 468043370482371827]","[0.7950385808944702, 0.7449051141738892, 0.7823793292045593, 0.7569701671600342, 0.731744110584259]"
49,anatomy,0.310546875,0.1884765625,0.10107421875,0.3984375,True,D,0.10680294036865234,mmlu_5,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468043370482431447, 468043370482465652, 468043370482393325, 468043370482369282, 468043370482369278]","[0.8551241159439087, 0.8619948029518127, 0.8110037446022034, 0.7926011085510254, 0.7929021120071411]"
