id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
1,anatomy,0.04248046875,0.045166015625,0.91015625,0.003936767578125,True,C,0.05699324607849121,mmlu_2,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[467572377850321203, 467572377855140957, 467572377855561982, 467572377855533319, 467523489549950943]","[0.8038409352302551, 0.7907957434654236, 0.7886371612548828, 0.7869452238082886, 0.7862599492073059]"
6,anatomy,0.09130859375,0.08544921875,0.8125,0.0115966796875,False,D,0.04977226257324219,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549676637, 467523489549676876, 467523489549676874, 467523489549676263, 467523489550007287]","[0.7932166457176208, 0.7826240658760071, 0.7824993133544922, 0.7706729769706726, 0.7686702013015747]"
11,anatomy,0.0035858154296875,0.00131988525390625,0.99609375,0.0004558563232421875,True,C,0.03560996055603027,mmlu_2,"['STAT', 'TEXT', 'TEXT', 'STAT', 'STAT']","[467572377850646871, 467523489549990215, 467523489549962364, 467572377850729050, 467572377850377468]","[0.834741473197937, 0.8188483715057373, 0.8164066076278687, 0.8162599802017212, 0.814862847328186]"
16,anatomy,0.010009765625,0.00732421875,0.9609375,0.0225830078125,False,D,0.05864739418029785,mmlu_2,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377854287252, 467572377850962642, 467572377852079940, 467572377850864869, 467572377854192992]","[0.7834701538085938, 0.7762392163276672, 0.7715206146240234, 0.7655092477798462, 0.7623200416564941]"
21,anatomy,0.99609375,0.003814697265625,0.0004291534423828125,0.0004291534423828125,True,A,0.05665898323059082,mmlu_2,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377850733870, 467572377855623449, 467572377852294325, 467572377853628473, 467572377853699733]","[0.7529940605163574, 0.7508066296577454, 0.749067485332489, 0.7473350763320923, 0.7464755177497864]"
26,anatomy,0.002044677734375,0.00131988525390625,0.004608154296875,0.9921875,True,D,0.05788588523864746,mmlu_2,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377850700916, 467572377856232460, 467572377852289527, 467572377853961325, 467572377850963581]","[0.7662456035614014, 0.765859067440033, 0.7598651647567749, 0.7596378326416016, 0.7581956386566162]"
31,anatomy,0.0093994140625,0.9609375,0.0078125,0.0225830078125,True,B,0.034793853759765625,mmlu_2,"['TEXT', 'PBMD', 'PBMD', 'STAT', 'PBMD']","[467523489550009667, 467572377854708633, 467572377853063932, 467572377850347187, 467572377854713903]","[0.7793371677398682, 0.7787516713142395, 0.7678967714309692, 0.7620090842247009, 0.7571885585784912]"
36,anatomy,0.021728515625,0.8125,0.16015625,0.0035400390625,False,C,0.031678199768066406,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850779806, 467572377850773533, 467572377850638234, 467572377850381251, 467572377850777160]","[0.8500606417655945, 0.8424296379089355, 0.8381209373474121, 0.8325075507164001, 0.8283411860466003]"
41,anatomy,0.419921875,0.326171875,0.1982421875,0.056640625,False,D,0.03907322883605957,mmlu_2,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377850920368, 467572377856307609, 467572377853379191, 467572377854138335, 467572377855164655]","[0.7834960222244263, 0.7660475969314575, 0.7585268020629883, 0.7551707625389099, 0.7525414228439331]"
46,anatomy,0.419921875,0.224609375,0.255859375,0.099609375,True,A,0.03711342811584473,mmlu_2,"['PBMD', 'STAT', 'PBMD', 'STAT', 'TEXT']","[467572377852121142, 467572377850320695, 467572377852479898, 467572377850290699, 467523489549675012]","[0.7441136240959167, 0.7383034229278564, 0.7237001061439514, 0.7159945368766785, 0.7153083086013794]"
