id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
2,anatomy,0.0296630859375,0.04052734375,0.06298828125,0.8671875,True,D,0.03545331954956055,mmlu_3,"['PBMD', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[467572377855677943, 467572377850327003, 467572377852964585, 467572377853410282, 467572377850864318]","[0.818665623664856, 0.8153864145278931, 0.8106366395950317, 0.8097119331359863, 0.8077087998390198]"
7,anatomy,0.0703125,0.042724609375,0.029296875,0.859375,True,D,0.038648128509521484,mmlu_3,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549947142, 467523489549698313, 467523489549981305, 467523489549989325, 467523489549674292]","[0.8609417676925659, 0.8240521550178528, 0.8214442729949951, 0.816896378993988, 0.8139075636863708]"
12,anatomy,0.298828125,0.1806640625,0.4921875,0.02783203125,True,C,0.03757452964782715,mmlu_3,"['PBMD', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[467572377852702934, 467572377853963063, 467572377850631318, 467572377854040981, 467572377855873993]","[0.8081178069114685, 0.7833258509635925, 0.7719829082489014, 0.7700952887535095, 0.7700908184051514]"
17,anatomy,0.0016937255859375,0.0016937255859375,0.99609375,0.0002155303955078125,True,C,0.046866655349731445,mmlu_3,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[467572377850732818, 467572377850790104, 467572377850342228, 467572377850668730, 467572377856628960]","[0.7872723937034607, 0.7814158201217651, 0.7735127210617065, 0.7639549970626831, 0.762989342212677]"
22,anatomy,0.2236328125,0.11962890625,0.53515625,0.11962890625,True,C,0.041007041931152344,mmlu_3,"['STAT', 'PBMD', 'STAT', 'STAT', 'STAT']","[467572377850314509, 467572377853756268, 467572377850316892, 467572377850778453, 467572377850757306]","[0.8253628015518188, 0.817949652671814, 0.8120645880699158, 0.8029859662055969, 0.7994170188903809]"
27,anatomy,0.240234375,0.10009765625,0.2119140625,0.44921875,False,A,0.02418661117553711,mmlu_3,"['STAT', 'STAT', 'TEXT', 'STAT', 'STAT']","[467572377850341620, 467572377850267839, 467523489549953157, 467572377850231313, 467572377850394110]","[0.790625810623169, 0.7889236807823181, 0.7573292255401611, 0.7495176196098328, 0.7459750771522522]"
32,anatomy,0.98046875,0.020263671875,0.000614166259765625,0.00019931793212890625,True,A,0.04797554016113281,mmlu_3,"['TEXT', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[467523489549699130, 467523489549699088, 467572377850798980, 467572377855610071, 467572377854830658]","[0.7722141742706299, 0.7688145637512207, 0.7646952867507935, 0.757758378982544, 0.7512913942337036]"
37,anatomy,0.0008392333984375,0.98046875,0.0002727508544921875,0.0179443359375,True,B,0.0382847785949707,mmlu_3,"['TEXT', 'STAT', 'PBMD', 'PBMD', 'STAT']","[467523489549675257, 467572377850294269, 467572377852303866, 467572377854219347, 467572377850305145]","[0.7984780073165894, 0.7653533816337585, 0.7613523006439209, 0.7576940059661865, 0.7571982145309448]"
42,anatomy,0.0015869140625,0.2216796875,0.00262451171875,0.7734375,True,D,0.03361988067626953,mmlu_3,"['STAT', 'STAT', 'STAT', 'PBMD', 'TEXT']","[467572377850249164, 467572377850766674, 467572377850781359, 467572377855291738, 467523489549698207]","[0.7843472957611084, 0.7727124691009521, 0.7698939442634583, 0.7600770592689514, 0.7591111660003662]"
47,anatomy,0.0140380859375,0.1171875,0.8671875,0.00167083740234375,True,C,0.036237478256225586,mmlu_3,"['STAT', 'STAT', 'STAT', 'PBMD', 'PBMD']","[467572377850691716, 467572377850708670, 467572377850240963, 467572377852727415, 467572377853344814]","[0.8386995792388916, 0.7932571172714233, 0.7798360586166382, 0.7783373594284058, 0.7771469950675964]"
52,anatomy,0.9921875,0.0037994384765625,0.00518798828125,0.0004825592041015625,True,A,0.034697532653808594,mmlu_3,"['PBMD', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377853044704, 467572377850720046, 467572377850281897, 467572377850412720, 467572377850339042]","[0.7753474712371826, 0.774732232093811, 0.7733951807022095, 0.7698790431022644, 0.7689464092254639]"
57,anatomy,0.08154296875,0.87890625,0.03857421875,0.00140380859375,False,A,0.04947519302368164,mmlu_3,"['PBMD', 'STAT', 'STAT', 'TEXT', 'STAT']","[467572377856249531, 467572377850732904, 467572377850757723, 467523489549708694, 467572377850245563]","[0.8301449418067932, 0.8244605660438538, 0.8192546963691711, 0.8190672397613525, 0.816027045249939]"
62,anatomy,0.0007476806640625,0.004058837890625,0.00457763671875,0.9921875,True,D,0.031672000885009766,mmlu_3,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850367726, 467572377850755530, 467572377850677041, 467572377850226480, 467572377850770480]","[0.8067632913589478, 0.7842336893081665, 0.7826245427131653, 0.7747732996940613, 0.7736061811447144]"
67,anatomy,0.004913330078125,0.000850677490234375,0.000484466552734375,0.9921875,True,D,0.038906097412109375,mmlu_3,"['TEXT', 'STAT', 'STAT', 'STAT', 'STAT']","[467523489549676883, 467572377850401346, 467572377850717124, 467572377850712029, 467572377850664009]","[0.7963999509811401, 0.7826447486877441, 0.7770512104034424, 0.7702559232711792, 0.769395112991333]"
72,anatomy,0.02734375,0.10791015625,0.0654296875,0.80078125,True,D,0.03816103935241699,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'TEXT', 'TEXT']","[467572377852989910, 467572377853783720, 467572377853045898, 467523489549710285, 467523489549710287]","[0.8010115027427673, 0.7803329825401306, 0.7745403051376343, 0.7724565267562866, 0.7684441804885864]"
77,anatomy,0.033447265625,0.859375,0.0908203125,0.01483154296875,True,B,0.03926348686218262,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377855965741, 467572377856100718, 467572377854193908, 467572377852129267, 467572377850973365]","[0.7580842971801758, 0.7172633409500122, 0.7171047329902649, 0.7081555128097534, 0.7071571946144104]"
82,anatomy,0.0654296875,0.62109375,0.1572265625,0.1572265625,False,C,0.05017566680908203,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377856420177, 467572377855888821, 467572377850887686, 467572377856874563, 467572377852982541]","[0.803352952003479, 0.7990732192993164, 0.7966732978820801, 0.7941588163375854, 0.7916003465652466]"
87,anatomy,0.001220703125,0.435546875,0.55859375,0.0037689208984375,False,B,0.038350582122802734,mmlu_3,"['STAT', 'PBMD', 'TEXT', 'STAT', 'TEXT']","[467572377850732920, 467572377856150477, 467523489549676268, 467572377850763037, 467523489549990535]","[0.7741019129753113, 0.770142674446106, 0.7657110691070557, 0.7643277645111084, 0.7611112594604492]"
2,clinical-knowledge,0.00799560546875,0.98046875,0.0042724609375,0.007476806640625,True,B,0.037802696228027344,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377853283817, 467572377855805938, 467572377855402106, 467572377856981922, 467572377856167780]","[0.686915934085846, 0.6839390397071838, 0.6833392977714539, 0.6826678514480591, 0.6819368004798889]"
7,clinical-knowledge,0.006744384765625,0.018310546875,0.1962890625,0.77734375,True,D,0.03663825988769531,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377852711890, 467572377855031590, 467572377852567197, 467572377854964501, 467572377855345566]","[0.7607587575912476, 0.7405824661254883, 0.7338669896125793, 0.732199490070343, 0.7297676801681519]"
12,clinical-knowledge,0.02001953125,0.3125,0.006103515625,0.66015625,True,D,0.04667782783508301,mmlu_3,"['PBMD', 'PBMD', 'TEXT', 'PBMD', 'PBMD']","[467572377850980606, 467572377855771428, 467523489549677695, 467572377854435221, 467572377850856495]","[0.810197114944458, 0.7855501174926758, 0.7792538404464722, 0.7745980024337769, 0.7691978812217712]"
17,clinical-knowledge,0.96484375,0.01007080078125,0.01214599609375,0.012939453125,True,A,0.03264880180358887,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'STAT', 'PBMD']","[467572377854260247, 467572377854013021, 467572377855054387, 467572377850260359, 467572377852069129]","[0.7924648523330688, 0.7822317481040955, 0.7659244537353516, 0.7657912373542786, 0.7649965882301331]"
22,clinical-knowledge,0.9453125,0.03662109375,0.0184326171875,0.000591278076171875,True,A,0.040642738342285156,mmlu_3,"['PBMD', 'STAT', 'STAT', 'STAT', 'PBMD']","[467572377853386983, 467572377850778097, 467572377850317155, 467572377850278034, 467572377855906773]","[0.7944806814193726, 0.7821420431137085, 0.7747585773468018, 0.7681601643562317, 0.7676482796669006]"
27,clinical-knowledge,0.00958251953125,0.9765625,0.01019287109375,0.00543212890625,True,B,0.026313066482543945,mmlu_3,"['STAT', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[467572377850625301, 467572377850232199, 467572377853814558, 467572377856849940, 467572377853455586]","[0.8749725818634033, 0.8691521286964417, 0.8640199899673462, 0.8439748883247375, 0.8418567180633545]"
32,clinical-knowledge,0.07177734375,0.875,0.0299072265625,0.0247802734375,True,B,0.06704974174499512,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377855724284, 467572377853112685, 467572377852828210, 467572377852790541, 467572377852458882]","[0.7229022979736328, 0.7217645049095154, 0.717889130115509, 0.7160334587097168, 0.7142450213432312]"
37,clinical-knowledge,0.1123046875,0.2373046875,0.3046875,0.345703125,False,B,0.048828840255737305,mmlu_3,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[467523489549677481, 467523489549683063, 467523489549679520, 467523489549677466, 467523489549683013]","[0.7747591733932495, 0.7732203006744385, 0.7730641961097717, 0.7730385065078735, 0.767643928527832]"
42,clinical-knowledge,0.043701171875,0.470703125,0.072265625,0.4140625,True,B,0.03441739082336426,mmlu_3,"['PBMD', 'STAT', 'PBMD', 'STAT', 'STAT']","[467572377853709845, 467572377850691261, 467572377854214614, 467572377850738793, 467572377850280476]","[0.794328510761261, 0.7821515202522278, 0.7816908955574036, 0.7778186202049255, 0.7776215076446533]"
47,clinical-knowledge,0.9765625,0.020263671875,0.0029144287109375,0.0004482269287109375,True,A,0.053160667419433594,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377856533813, 467572377852997764, 467572377855049438, 467572377855167211, 467572377852771075]","[0.7257992625236511, 0.7201893329620361, 0.7170590758323669, 0.7148138284683228, 0.7123231887817383]"
52,clinical-knowledge,0.0023040771484375,0.007537841796875,0.0009613037109375,0.98828125,True,D,0.03961181640625,mmlu_3,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[467572377855547404, 467523489549943447, 467572377850905499, 467572377853579637, 467572377850905236]","[0.8228897452354431, 0.8208628296852112, 0.8138490915298462, 0.8127239942550659, 0.8121317028999329]"
57,clinical-knowledge,0.75,0.042236328125,0.1669921875,0.042236328125,True,A,0.06145954132080078,mmlu_3,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377852820136, 467572377854998414, 467572377852826666, 467572377852259638, 467572377854832725]","[0.7920297384262085, 0.790306031703949, 0.7897676229476929, 0.7891196012496948, 0.7856217622756958]"
62,clinical-knowledge,0.203125,0.259765625,0.333984375,0.203125,False,D,0.038173675537109375,mmlu_3,"['STAT', 'STAT', 'TEXT', 'TEXT', 'TEXT']","[467572377850700921, 467572377850231890, 467523489549677616, 467523489549679571, 467523489549679567]","[0.8126519918441772, 0.806223452091217, 0.8060506582260132, 0.8000627756118774, 0.7909615635871887]"
67,clinical-knowledge,0.004791259765625,0.08447265625,0.91015625,0.000209808349609375,True,C,0.047475576400756836,mmlu_3,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377850404003, 467572377855577400, 467572377855945711, 467572377856442365, 467572377855218183]","[0.8206846714019775, 0.7919365763664246, 0.7891525030136108, 0.7839891910552979, 0.7839752435684204]"
72,clinical-knowledge,0.353515625,0.275390625,0.1298828125,0.2421875,False,D,0.03456997871398926,mmlu_3,"['STAT', 'STAT', 'STAT', 'TEXT', 'STAT']","[467572377850649031, 467572377850784706, 467572377850726812, 467523489549980752, 467572377850273925]","[0.7596360445022583, 0.7361575961112976, 0.7357193231582642, 0.7313686013221741, 0.726801335811615]"
77,clinical-knowledge,0.018798828125,0.012939453125,0.96875,0.0012054443359375,True,C,0.03937983512878418,mmlu_3,"['PBMD', 'STAT', 'STAT', 'PBMD', 'STAT']","[467572377852541628, 467572377850223841, 467572377850223817, 467572377853494102, 467572377850223840]","[0.7769801020622253, 0.7618263959884644, 0.7577700018882751, 0.7554606795310974, 0.7532249093055725]"
