id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
3,anatomy,0.000335693359375,1.0,0.000911712646484375,0.000179290771484375,True,B,0.1083226203918457,mmlu_4,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[467572377853953145, 467523489549700494, 467572377852716791, 467572377856340210, 467572377855814383]","[0.7509786486625671, 0.7476587295532227, 0.7454036474227905, 0.7441251873970032, 0.7405481934547424]"
8,anatomy,0.00180816650390625,0.00066375732421875,0.99609375,0.0021820068359375,True,C,0.06554532051086426,mmlu_4,"['STAT', 'TEXT', 'TEXT', 'TEXT', 'STAT']","[467572377850646871, 467523489549990215, 467523489549962364, 467523489549990216, 467572377850729050]","[0.8413121700286865, 0.8366358280181885, 0.829024076461792, 0.8252213001251221, 0.8249461650848389]"
13,anatomy,0.26953125,0.306640625,0.23828125,0.185546875,False,C,0.06601572036743164,mmlu_4,"['TEXT', 'STAT', 'STAT', 'TEXT', 'STAT']","[467523489549988951, 467572377850395861, 467572377850395862, 467523489549960164, 467572377850311491]","[0.8394933938980103, 0.8378838896751404, 0.8343240022659302, 0.8289410471916199, 0.828252911567688]"
18,anatomy,0.0927734375,0.15234375,0.28515625,0.470703125,True,D,0.06811904907226562,mmlu_4,"['PBMD', 'PBMD', 'STAT', 'STAT', 'TEXT']","[467572377852989910, 467572377854768895, 467572377850317283, 467572377850666823, 467523489549710285]","[0.7946435809135437, 0.787609338760376, 0.7787474393844604, 0.776663601398468, 0.7751201391220093]"
23,anatomy,0.00159454345703125,0.00022983551025390625,0.99609375,0.00020313262939453125,True,C,0.08257722854614258,mmlu_4,"['STAT', 'PBMD', 'STAT', 'TEXT', 'PBMD']","[467572377850372775, 467572377855049932, 467572377850356817, 467523489549939727, 467572377854290126]","[0.7519347071647644, 0.7499384880065918, 0.7486129403114319, 0.7462074756622314, 0.7405871748924255]"
28,anatomy,0.89453125,0.0537109375,0.04736328125,0.00323486328125,True,A,0.06567788124084473,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850311491, 467572377850759527, 467572377850657221, 467572377850759542, 467572377850741410]","[0.8543586730957031, 0.8389535546302795, 0.8317655920982361, 0.8219190239906311, 0.814531683921814]"
33,anatomy,0.0019073486328125,0.007080078125,0.0040283203125,0.98828125,True,D,0.08804130554199219,mmlu_4,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[467572377852731754, 467572377852812940, 467572377856142860, 467572377854264455, 467572377850255161]","[0.8243685960769653, 0.8204934597015381, 0.8203580975532532, 0.8188002705574036, 0.8179617524147034]"
38,anatomy,0.259765625,0.203125,0.333984375,0.203125,True,C,0.07245182991027832,mmlu_4,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377850921833, 467572377852132521, 467572377852254118, 467572377853675014, 467572377852254053]","[0.7912884950637817, 0.7826001644134521, 0.777887761592865, 0.7694187164306641, 0.7599070072174072]"
43,anatomy,0.83984375,0.04736328125,0.03271484375,0.078125,True,A,0.046199798583984375,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850635168, 467572377850724058, 467572377850299671, 467572377850657210, 467572377850232898]","[0.8955675959587097, 0.8635115623474121, 0.8591196537017822, 0.8555715084075928, 0.8525643944740295]"
48,anatomy,0.0201416015625,0.96875,0.005096435546875,0.005767822265625,True,B,0.06776046752929688,mmlu_4,"['PBMD', 'PBMD', 'STAT', 'STAT', 'PBMD']","[467572377854670226, 467572377855619979, 467572377850626047, 467572377850301844, 467572377855272788]","[0.7412329316139221, 0.7370315790176392, 0.7363969683647156, 0.7351078391075134, 0.7337469458580017]"
53,anatomy,0.05908203125,0.0859375,0.81640625,0.04052734375,False,B,0.06992459297180176,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[467572377850335708, 467572377850269783, 467572377850712376, 467572377850371679, 467572377850711310]","[0.8337699174880981, 0.8235102295875549, 0.8143361806869507, 0.8138228058815002, 0.8121472001075745]"
58,anatomy,0.09814453125,0.1611328125,0.439453125,0.30078125,True,C,0.06888484954833984,mmlu_4,"['PBMD', 'STAT', 'STAT', 'TEXT', 'STAT']","[467572377853756268, 467572377850314510, 467572377850778461, 467523489549674534, 467572377850753030]","[0.8012182712554932, 0.7948939204216003, 0.7909418940544128, 0.7888892292976379, 0.7838332653045654]"
63,anatomy,0.240234375,0.7421875,0.01446533203125,0.004150390625,True,B,0.05164289474487305,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[467572377850358208, 467572377850785562, 467572377850717917, 467572377850637681, 467572377854927630]","[0.7754048109054565, 0.7734768390655518, 0.7714803218841553, 0.768119215965271, 0.7652424573898315]"
68,anatomy,0.05224609375,0.00244140625,0.92578125,0.0191650390625,True,C,0.08361530303955078,mmlu_4,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377852160811, 467572377856693709, 467572377856524447, 467572377854728571, 467572377854002090]","[0.7875868678092957, 0.7698174118995667, 0.768886923789978, 0.7680630683898926, 0.7664333581924438]"
73,anatomy,0.91796875,0.003997802734375,0.058837890625,0.0179443359375,True,A,0.05229020118713379,mmlu_4,"['TEXT', 'STAT', 'TEXT', 'STAT', 'STAT']","[467523489549947142, 467572377850648588, 467523489549981305, 467572377850762411, 467572377850696576]","[0.8471533060073853, 0.8296157121658325, 0.8287193775177002, 0.8067148327827454, 0.8042885661125183]"
78,anatomy,0.86328125,0.10302734375,0.0260009765625,0.00897216796875,True,A,0.05268406867980957,mmlu_4,"['TEXT', 'STAT', 'STAT', 'STAT', 'STAT']","[467523489549959466, 467572377850762408, 467572377850247201, 467572377850404056, 467572377850385391]","[0.8171671628952026, 0.8090526461601257, 0.8031008243560791, 0.8027704358100891, 0.8021933436393738]"
