id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
0,anatomy,0.9921875,0.006683349609375,0.0020294189453125,0.000797271728515625,True,A,0.16957426071166992,mmlu_1,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377850733870, 467572377855623449, 467572377853699733, 467572377853628473, 467572377852294325]","[0.7623590230941772, 0.759809136390686, 0.7564636468887329, 0.75593501329422, 0.7555850744247437]"
5,anatomy,0.0791015625,0.90625,0.006927490234375,0.006500244140625,True,B,0.12192821502685547,mmlu_1,"['TEXT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[467523489549989749, 467523489549698400, 467523489549990425, 467572377850298849, 467523489549698403]","[0.7756834030151367, 0.7690711617469788, 0.7651783227920532, 0.7631089091300964, 0.7604494094848633]"
10,anatomy,0.08642578125,0.87109375,0.038330078125,0.0023040771484375,False,A,0.14993762969970703,mmlu_1,"['TEXT', 'PBMD', 'STAT', 'STAT', 'STAT']","[467523489549991002, 467572377856249531, 467572377850245564, 467572377850245563, 467572377850757723]","[0.829719066619873, 0.8269217610359192, 0.8256022334098816, 0.8241534233093262, 0.8212761878967285]"
15,anatomy,0.05126953125,0.0146484375,0.90625,0.02734375,True,C,0.11298322677612305,mmlu_1,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467523489549675889, 467572377852334873, 467572377852317282, 467572377854670905, 467572377854259767]","[0.7521845698356628, 0.742968738079071, 0.7390003800392151, 0.7372416853904724, 0.7335113883018494]"
20,anatomy,0.69921875,0.255859375,0.02880859375,0.016357421875,True,A,0.08504939079284668,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377852563340, 467572377853030774, 467572377853590210, 467572377852761518, 467572377853810932]","[0.7600781321525574, 0.743843138217926, 0.7370575070381165, 0.7367676496505737, 0.7286759614944458]"
25,anatomy,0.038330078125,0.0159912109375,0.01416015625,0.9296875,True,D,0.13912177085876465,mmlu_1,"['TEXT', 'TEXT', 'PBMD', 'TEXT', 'TEXT']","[467523489549674551, 467523489550003352, 467572377854129309, 467523489549674662, 467523489549674963]","[0.8032420873641968, 0.7875478863716125, 0.783362865447998, 0.7773098349571228, 0.7699404954910278]"
30,anatomy,0.031494140625,0.0191650390625,0.921875,0.0262451171875,False,D,0.18265938758850098,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377854287252, 467572377850962642, 467572377852079940, 467572377850864869, 467572377854192992]","[0.7814450263977051, 0.7731963396072388, 0.7652685642242432, 0.7631384134292603, 0.7579037547111511]"
35,anatomy,0.00262451171875,0.0016937255859375,0.99609375,0.00012302398681640625,True,C,0.14317083358764648,mmlu_1,"['STAT', 'STAT', 'STAT', 'PBMD', 'PBMD']","[467572377850291114, 467572377850253841, 467572377850673098, 467572377853275023, 467572377853292460]","[0.765611469745636, 0.7647149562835693, 0.7629685997962952, 0.7618433237075806, 0.761316180229187]"
40,anatomy,0.0010986328125,0.0010986328125,0.99609375,0.0006256103515625,True,C,0.11585068702697754,mmlu_1,"['STAT', 'TEXT', 'PBMD', 'STAT', 'STAT']","[467572377850622887, 467523489549700938, 467572377854336768, 467572377850622884, 467572377850622883]","[0.7857344746589661, 0.7409722208976746, 0.7374736666679382, 0.7372939586639404, 0.7372143864631653]"
45,anatomy,0.0035858154296875,0.000621795654296875,0.002166748046875,0.9921875,True,D,0.12546133995056152,mmlu_1,"['TEXT', 'PBMD', 'TEXT', 'TEXT', 'PBMD']","[467523489549674511, 467572377850861514, 467523489549990529, 467523489549990527, 467572377853814508]","[0.7214008569717407, 0.7159895896911621, 0.7133353352546692, 0.7096378207206726, 0.708492636680603]"
50,anatomy,0.0033721923828125,0.000244140625,0.00066375732421875,0.99609375,True,D,0.11531901359558105,mmlu_1,"['PBMD', 'TEXT', 'TEXT', 'TEXT', 'PBMD']","[467572377854325885, 467523489549696991, 467523489549682255, 467523489549988704, 467572377854484452]","[0.7741380929946899, 0.7637232542037964, 0.7621620297431946, 0.7577698230743408, 0.7548155784606934]"
55,anatomy,0.041259765625,0.0498046875,0.026611328125,0.8828125,True,D,0.1294252872467041,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[467572377855677943, 467572377854282270, 467572377850928082, 467572377854817481, 467572377850327003]","[0.8203336000442505, 0.8105825185775757, 0.8086221218109131, 0.8064717054367065, 0.8052961826324463]"
60,anatomy,0.0167236328125,0.9140625,0.040283203125,0.027587890625,True,B,0.18288159370422363,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[467572377855412598, 467572377856090710, 467572377855038950, 467572377856106760, 467572377850787652]","[0.7291224598884583, 0.7234702706336975, 0.7233540415763855, 0.7228884696960449, 0.7218106985092163]"
65,anatomy,0.01483154296875,0.0024261474609375,0.006591796875,0.9765625,True,D,0.14338970184326172,mmlu_1,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[467572377854665694, 467523489549949509, 467572377854029847, 467572377855879513, 467572377855749028]","[0.7990360856056213, 0.7920124530792236, 0.7910082340240479, 0.7905725240707397, 0.7884196043014526]"
70,anatomy,0.056884765625,0.05029296875,0.6953125,0.19921875,True,C,0.16959929466247559,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[467572377856935778, 467572377855078340, 467572377855636617, 467572377855767149, 467572377856120669]","[0.7805749177932739, 0.7612975239753723, 0.7551082372665405, 0.7490332722663879, 0.7472080588340759]"
75,anatomy,0.1318359375,0.51953125,0.0703125,0.27734375,True,B,0.16453337669372559,mmlu_1,"['TEXT', 'STAT', 'STAT', 'PBMD', 'STAT']","[467523489549699601, 467572377850397029, 467572377850305948, 467572377856470939, 467572377850226450]","[0.7843134999275208, 0.7819652557373047, 0.778922438621521, 0.7738010883331299, 0.7736323475837708]"
