id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity,confident,add_ids
1,anatomy,0.09619140625,0.859375,0.00897216796875,0.035400390625,True,B,0.1666584014892578,mmlu_2,"['PBMD', 'TEXT', 'TEXT', 'STAT', 'STAT']","[468043370483414264, 468043370482395915, 468043370482413930, 468043370482872369, 468043370482960548]","[0.7510778903961182, 0.744665265083313, 0.7299352288246155, 0.7279485464096069, 0.7235230207443237]",1,"[-1, -1, -1, -1, -1]"
6,anatomy,0.201171875,0.15625,0.0240478515625,0.6171875,True,D,0.23344945907592773,mmlu_2,"['PBMD', 'STAT', 'PBMD', 'STAT', 'STAT']","[468043370483322201, 468043370482562936, 468043370483212180, 468043370482915865, 468043370482918559]","[0.7746244072914124, 0.7745921611785889, 0.7713045477867126, 0.7709977626800537, 0.7701853513717651]",1,"[-1, -1, -1, -1, -1]"
11,anatomy,0.003814697265625,0.99609375,0.00109100341796875,0.00031280517578125,True,B,0.21212124824523926,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[468043370482918867, 468043370482912029, 468043370482822802, 468043370483009935, 468043370483288591]","[0.7768452167510986, 0.7705783247947693, 0.7661002278327942, 0.7622950077056885, 0.7617879509925842]",1,"[-1, -1, -1, -1, -1]"
16,anatomy,0.984375,0.007080078125,0.00665283203125,0.00012969970703125,True,A,0.2198939323425293,mmlu_2,"['TEXT', 'STAT', 'STAT', 'PBMD', 'STAT']","[468043370482464961, 468043370482905018, 468043370482833703, 468043370483511257, 468043370482528411]","[0.765302300453186, 0.7489198446273804, 0.7450045943260193, 0.742762565612793, 0.7386495471000671]",1,"[-1, -1, -1, -1, -1]"
21,anatomy,0.1767578125,0.546875,0.2578125,0.0198974609375,False,C,0.23985028266906738,mmlu_2,"['STAT', 'STAT', 'PBMD', 'STAT', 'STAT']","[468043370483063952, 468043370482798058, 468043370483236678, 468043370482951232, 468043370482528215]","[0.7652149200439453, 0.760330319404602, 0.7603089213371277, 0.759840726852417, 0.7594360113143921]",1,"[-1, -1, -1, -1, -1]"
26,anatomy,0.734375,0.2236328125,0.01519775390625,0.0284423828125,False,B,0.21526789665222168,mmlu_2,"['STAT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[468043370482881017, 468043370482371368, 468043370482371819, 468043370483073782, 468043370482371822]","[0.8025973439216614, 0.7933375835418701, 0.7917062640190125, 0.7895264029502869, 0.7793954610824585]",1,"[-1, -1, -1, -1, -1]"
31,anatomy,0.008544921875,0.0012359619140625,0.98828125,0.00042724609375,True,C,0.30663323402404785,mmlu_2,"['STAT', 'STAT', 'PBMD', 'PBMD', 'TEXT']","[468043370483066794, 468043370482505029, 468043370483766238, 468043370483666731, 468043370482454985]","[0.8016717433929443, 0.7665539979934692, 0.7624199390411377, 0.759175717830658, 0.7577738165855408]",1,"[-1, -1, -1, -1, -1]"
36,anatomy,0.01483154296875,0.005462646484375,0.00201416015625,0.9765625,True,D,0.17214465141296387,mmlu_2,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[468043370482989679, 468043370482920432, 468043370482870812, 468043370482539203, 468043370482474488]","[0.8153572678565979, 0.8040554523468018, 0.7986657619476318, 0.798554003238678, 0.786706268787384]",1,"[-1, -1, -1, -1, -1]"
41,anatomy,0.021484375,0.0030975341796875,0.0029144287109375,0.97265625,True,D,0.23880839347839355,mmlu_2,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468043370482394722, 468043370482394716, 468043370482394657, 468043370482394718, 468043370482394714]","[0.824678897857666, 0.8240439891815186, 0.8060381412506104, 0.8050217628479004, 0.8035444617271423]",1,"[-1, -1, -1, -1, -1]"
46,anatomy,0.0098876953125,0.011962890625,0.0286865234375,0.94921875,True,D,0.21329998970031738,mmlu_2,"['STAT', 'STAT', 'PBMD', 'STAT', 'PBMD']","[468043370482802649, 468043370482838532, 468043370484078335, 468043370482915643, 468043370484116254]","[0.8206773996353149, 0.8198868036270142, 0.8082026839256287, 0.807086169719696, 0.8044273853302002]",1,"[-1, -1, -1, -1, -1]"
