id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity
0,anatomy,0.9453125,0.03662109375,0.01190185546875,0.007659912109375,True,A,0.3711860179901123,mmlu_1,"['STAT', 'TEXT', 'STAT', 'STAT', 'STAT']","[468043370483078661, 468043370482437629, 468043370483060117, 468043370482832848, 468043370483022959]","[0.724385678768158, 0.743658185005188, 0.7122671604156494, 0.7022222876548767, 0.7623590230941772]"
5,anatomy,0.07861328125,0.8984375,0.010009765625,0.0113525390625,True,B,0.24206304550170898,mmlu_1,"['STAT', 'STAT', 'TEXT', 'PBMD', 'TEXT']","[468043370482954798, 468043370482802114, 468043370482393411, 468043370483290543, 468043370482474102]","[0.7324342727661133, 0.7520897388458252, 0.7568633556365967, 0.7588819265365601, 0.7756834030151367]"
10,anatomy,0.10986328125,0.86328125,0.0245361328125,0.00156402587890625,False,A,0.3502073287963867,mmlu_1,"['STAT', 'STAT', 'TEXT', 'TEXT', 'TEXT']","[468043370483052739, 468043370483047365, 468043370482475361, 468043370482403718, 468043370482487739]","[0.8126665353775024, 0.8212762475013733, 0.829719066619873, 0.8184401392936707, 0.7845540642738342]"
15,anatomy,0.0390625,0.005615234375,0.9453125,0.01116943359375,True,C,0.23476243019104004,mmlu_1,"['STAT', 'TEXT', 'PBMD', 'STAT', 'STAT']","[468043370482880404, 468043370482370877, 468043370483630512, 468043370483057059, 468043370482507425]","[0.7874885201454163, 0.7521845698356628, 0.742968738079071, 0.7168366312980652, 0.715110182762146]"
20,anatomy,0.890625,0.06884765625,0.016357421875,0.0238037109375,True,A,0.383084774017334,mmlu_1,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[468043370483020895, 468043370483020851, 468043370482917383, 468043370482793976, 468043370483492218]","[0.7103281617164612, 0.7026389241218567, 0.7091128826141357, 0.7086656093597412, 0.7211957573890686]"
25,anatomy,0.05419921875,0.017578125,0.025634765625,0.90234375,True,D,0.27457284927368164,mmlu_1,"['TEXT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[468043370482369539, 468043370482369952, 468043370482369951, 468043370482540126, 468043370482369650]","[0.8032420873641968, 0.7637364864349365, 0.7699404954910278, 0.7876273989677429, 0.7773098349571228]"
30,anatomy,0.05517578125,0.0277099609375,0.86328125,0.05517578125,False,D,0.3517584800720215,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'TEXT', 'PBMD']","[468043370483253461, 468043370483317204, 468043370483363628, 468043370482437826, 468043370483491497]","[0.7731963396072388, 0.7502205967903137, 0.7652685642242432, 0.7003411054611206, 0.7201176881790161]"
35,anatomy,0.004608154296875,0.0016937255859375,0.9921875,8.96453857421875e-05,True,C,0.28536224365234375,mmlu_1,"['TEXT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482394165, 468043370483015187, 468043370482793615, 468043370482526817, 468043370482564684]","[0.7471476197242737, 0.7438140511512756, 0.7385933995246887, 0.7647149562835693, 0.7656114101409912]"
40,anatomy,0.0031585693359375,0.00262451171875,0.9921875,0.00042724609375,True,C,0.20714616775512695,mmlu_1,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468043370482902410, 468043370482902406, 468043370482902407, 468043370482380453, 468043370482392873]","[0.7857344746589661, 0.7372143864631653, 0.7372938990592957, 0.7275879383087158, 0.7174299955368042]"
45,anatomy,0.005889892578125,0.0002593994140625,0.0012359619140625,0.9921875,True,D,0.20109963417053223,mmlu_1,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482914009, 468043370483067086, 468043370482800164, 468043370482805307, 468043370482870794]","[0.7853913307189941, 0.7633346319198608, 0.7354372143745422, 0.7304883003234863, 0.6969733834266663]"
