id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity,confident,add_ids
0,anatomy,0.93359375,0.041015625,0.01416015625,0.01171875,True,A,0.3754444122314453,mmlu_1,"['STAT', 'TEXT', 'STAT', 'STAT', 'STAT']","[468043370483078661, 468043370482437629, 468043370483060117, 468043370482832848, 468043370483022959]","[0.724385678768158, 0.743658185005188, 0.7122671604156494, 0.7022222876548767, 0.7623590230941772]",1,"[-1, -1, -1, -1, -1]"
5,anatomy,0.11572265625,0.85546875,0.0137939453125,0.015625,True,B,0.244187593460083,mmlu_1,"['STAT', 'STAT', 'TEXT', 'PBMD', 'TEXT']","[468043370482954798, 468043370482802114, 468043370482393411, 468043370483290543, 468043370482474102]","[0.7324342727661133, 0.7520897388458252, 0.7568633556365967, 0.7588819265365601, 0.7756834030151367]",1,"[-1, -1, -1, -1, -1]"
10,anatomy,0.10986328125,0.86328125,0.0230712890625,0.00189208984375,False,A,0.3501920700073242,mmlu_1,"['STAT', 'STAT', 'TEXT', 'TEXT', 'TEXT']","[468043370483052739, 468043370483047365, 468043370482475361, 468043370482403718, 468043370482487739]","[0.8126665353775024, 0.8212762475013733, 0.829719066619873, 0.8184401392936707, 0.7845540642738342]",1,"[-1, -1, -1, -1, -1]"
15,anatomy,0.04931640625,0.004302978515625,0.93359375,0.01416015625,True,C,0.2341921329498291,mmlu_1,"['STAT', 'TEXT', 'PBMD', 'STAT', 'STAT']","[468043370482880404, 468043370482370877, 468043370483630512, 468043370483057059, 468043370482507425]","[0.7874885201454163, 0.7521845698356628, 0.742968738079071, 0.7168366312980652, 0.715110182762146]",1,"[-1, -1, -1, -1, -1]"
20,anatomy,0.9375,0.020751953125,0.0283203125,0.01336669921875,True,A,5.358110189437866,mmlu_1,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[468043370483020895, 468043370483020851, 468043370482917383, 468043370482793976, 468043370483492218]","[0.7103281617164612, 0.7026389241218567, 0.7091128826141357, 0.7086656093597412, 0.7211957573890686]",2,"[468043370483063441, 468043370482504316, 468043370482369563, 468043370482394648, 468043370482778297, 468043370483063441, 468043370482865678, 468043370482369563, 468043370483570021, 468043370482836813]"
25,anatomy,0.06103515625,0.019775390625,0.0238037109375,0.89453125,True,D,0.27243733406066895,mmlu_1,"['TEXT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[468043370482369539, 468043370482369952, 468043370482369951, 468043370482540126, 468043370482369650]","[0.8032420873641968, 0.7637364864349365, 0.7699404954910278, 0.7876273989677429, 0.7773098349571228]",1,"[-1, -1, -1, -1, -1]"
30,anatomy,0.05908203125,0.021728515625,0.87109375,0.049072265625,False,D,0.3475186824798584,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'TEXT', 'PBMD']","[468043370483253461, 468043370483317204, 468043370483363628, 468043370482437826, 468043370483491497]","[0.7731963396072388, 0.7502205967903137, 0.7652685642242432, 0.7003411054611206, 0.7201176881790161]",1,"[-1, -1, -1, -1, -1]"
35,anatomy,0.008056640625,0.0023040771484375,0.98828125,0.00016689300537109375,True,C,0.27910327911376953,mmlu_1,"['TEXT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482394165, 468043370483015187, 468043370482793615, 468043370482526817, 468043370482564684]","[0.7471476197242737, 0.7438140511512756, 0.7385933995246887, 0.7647149562835693, 0.7656114101409912]",1,"[-1, -1, -1, -1, -1]"
40,anatomy,0.005523681640625,0.002777099609375,0.9921875,0.000659942626953125,True,C,0.2029552459716797,mmlu_1,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468043370482902410, 468043370482902406, 468043370482902407, 468043370482380453, 468043370482392873]","[0.7857344746589661, 0.7372143864631653, 0.7372938990592957, 0.7275879383087158, 0.7174299955368042]",1,"[-1, -1, -1, -1, -1]"
45,anatomy,0.00433349609375,0.0002288818359375,0.00102996826171875,0.99609375,True,D,0.20111775398254395,mmlu_1,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482914009, 468043370483067086, 468043370482800164, 468043370482805307, 468043370482870794]","[0.7853913307189941, 0.7633346319198608, 0.7354372143745422, 0.7304883003234863, 0.6969733834266663]",1,"[-1, -1, -1, -1, -1]"
50,anatomy,0.00909423828125,0.00024318695068359375,0.0007476806640625,0.98828125,True,D,0.24998164176940918,mmlu_1,"['STAT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[468043370483068861, 468043370482392003, 468043370482472902, 468043370482866748, 468043370482392002]","[0.7537458539009094, 0.7637232542037964, 0.7467455863952637, 0.7446693778038025, 0.7459250092506409]",1,"[-1, -1, -1, -1, -1]"
55,anatomy,0.028564453125,0.0162353515625,0.0098876953125,0.9453125,True,D,0.24600911140441895,mmlu_1,"['PBMD', 'STAT', 'PBMD', 'PBMD', 'STAT']","[468043370483218859, 468043370482952447, 468043370483737966, 468043370483756789, 468043370482807733]","[0.8086221218109131, 0.7883439064025879, 0.7812633514404297, 0.7788189053535461, 0.8052961826324463]",1,"[-1, -1, -1, -1, -1]"
60,anatomy,0.00555419921875,0.9921875,0.0012359619140625,0.000751495361328125,True,B,0.2973318099975586,mmlu_1,"['TEXT', 'STAT', 'TEXT', 'TEXT', 'STAT']","[468043370482370206, 468043370482502612, 468043370482370470, 468043370482370487, 468043370482964087]","[0.7058750987052917, 0.7003878951072693, 0.709797203540802, 0.7136874198913574, 0.7177627086639404]",1,"[-1, -1, -1, -1, -1]"
