id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity,confident,add_ids
0,anatomy,0.98046875,0.00701904296875,0.005828857421875,0.007476806640625,True,A,11.662663459777832,mmlu_1,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468043370483022959, 468043370483192725, 468043370483661924, 468043370483180528, 468043370483201234]","[0.7623590230941772, 0.7544664144515991, 0.7534362077713013, 0.7522026300430298, 0.7475994825363159]",4,"[468043370482465790, 468043370483038309, 468043370483187843, 468043370483038290, 468043370483210681, 468043370483668226, 468043370483078669, 468043370483187843, 468043370483078661, 468043370483060117, 468043370483668226, 468043370482467967, 468043370483210681, 468043370483187843, 468043370483352594, 468043370483497793, 468043370484108277, 468043370483666421, 468043370483906310, 468043370482559884]"
5,anatomy,0.10986328125,0.86328125,0.0123291015625,0.01483154296875,True,B,8.443100452423096,mmlu_1,"['TEXT', 'TEXT', 'TEXT', 'STAT', 'TEXT']","[468043370482474102, 468043370482393412, 468043370482474784, 468043370482779004, 468043370482393415]","[0.7756834030151367, 0.7690711617469788, 0.7651783227920532, 0.7631087899208069, 0.7604494094848633]",4,"[468043370482393412, 468043370482393415, 468043370482393411, 468043370483060295, 468043370482802114, 468043370482393415, 468043370482393412, 468043370482802114, 468043370482393411, 468043370482393408, 468043370482393412, 468043370482393415, 468043370482393411, 468043370482802114, 468043370483012199, 468043370482393412, 468043370482393411, 468043370483012199, 468043370482802114, 468043370482474102]"
10,anatomy,0.1552734375,0.78515625,0.053466796875,0.00531005859375,False,A,8.715653896331787,mmlu_1,"['TEXT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482475361, 468043370482518413, 468043370482518412, 468043370483047365, 468043370483021993]","[0.829719066619873, 0.8256022334098816, 0.8241535425186157, 0.8212762475013733, 0.820745050907135]",4,"[468043370482437819, 468043370483047365, 468043370482475361, 468043370482518412, 468043370483052739, 468043370483047365, 468043370482474894, 468043370482475361, 468043370482526314, 468043370483052739, 468043370482856144, 468043370483047365, 468043370482498982, 468043370482437819, 468043370483047370, 468043370482437819, 468043370483047365, 468043370482932746, 468043370482526314, 468043370482518412]"
15,anatomy,0.039306640625,0.0017318725585937,0.953125,0.004425048828125,True,C,10.582361936569214,mmlu_1,"['STAT', 'TEXT', 'PBMD', 'PBMD', 'STAT']","[468043370482880404, 468043370482370877, 468043370483630512, 468043370483612897, 468043370482815663]","[0.7874885201454163, 0.7521845698356628, 0.742968738079071, 0.7390003800392151, 0.7347937822341919]",4,"[468043370482880404, 468043370482370877, 468043370482829200, 468043370483031493, 468043370483385312, 468043370482880404, 468043370482803525, 468043370482507425, 468043370482370877, 468043370482815663, 468043370482919292, 468043370482516604, 468043370483385312, 468043370483905573, 468043370482880411, 468043370482919290, 468043370482910391, 468043370482370877, 468043370483363160, 468043370482799567]"
20,anatomy,0.953125,0.01544189453125,0.0211181640625,0.0087890625,True,A,9.01322889328003,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468043370484062540, 468043370484054307, 468043370483492218, 468043370483570021, 468043370482812650]","[0.7367676496505737, 0.7221356630325317, 0.7211957573890686, 0.7190518975257874, 0.7183687090873718]",4,"[468043370483063441, 468043370482369563, 468043370484128245, 468043370483570021, 468043370483062021, 468043370483570021, 468043370482932775, 468043370482778297, 468043370482504316, 468043370482530926, 468043370483500450, 468043370482870623, 468043370483570021, 468043370482530926, 468043370483505393, 468043370483063441, 468043370482865678, 468043370482369563, 468043370482932775, 468043370482836813]"
25,anatomy,0.087890625,0.0390625,0.0390625,0.8359375,True,D,9.104193925857544,mmlu_1,"['TEXT', 'STAT', 'TEXT', 'TEXT', 'TEXT']","[468043370482369539, 468043370482540126, 468043370482487723, 468043370482369650, 468043370482369951]","[0.8032420873641968, 0.7876273989677429, 0.7875478863716125, 0.7773098349571228, 0.7699404954910278]",4,"[468043370482487723, 468043370482369644, 468043370482369951, 468043370482369539, 468043370482540126, 468043370482487723, 468043370482369644, 468043370482369539, 468043370482369951, 468043370482540126, 468043370482369539, 468043370482487723, 468043370482369951, 468043370482369952, 468043370482369658, 468043370482487723, 468043370482369539, 468043370483124875, 468043370482804184, 468043370484048756]"
30,anatomy,0.080078125,0.03125,0.80859375,0.080078125,False,D,10.18091630935669,mmlu_1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468043370483253461, 468043370483363628, 468043370483146410, 468043370483317204, 468043370483841877]","[0.7731963396072388, 0.7652685642242432, 0.7631384134292603, 0.7502205967903137, 0.746699869632721]",4,"[468043370483317204, 468043370483253461, 468043370483363628, 468043370483323881, 468043370483841877, 468043370483317204, 468043370483253461, 468043370483363628, 468043370483533318, 468043370483323881, 468043370483146410, 468043370483317204, 468043370483253461, 468043370484127414, 468043370483533318, 468043370483317204, 468043370483363628, 468043370483650821, 468043370483146410, 468043370483253461]"
35,anatomy,0.0096435546875,0.0037841796875,0.984375,0.0003528594970703,True,C,10.91335105895996,mmlu_1,"['STAT', 'STAT', 'STAT', 'PBMD', 'TEXT']","[468043370482564684, 468043370482526817, 468043370482953419, 468043370483572666, 468043370482475518]","[0.7656114101409912, 0.7647149562835693, 0.7629685997962952, 0.7525175213813782, 0.7521856427192688]",4,"[468043370482489012, 468043370482857860, 468043370483405095, 468043370483461614, 468043370482564684, 468043370483037124, 468043370482488585, 468043370482564692, 468043370482793616, 468043370482475518, 468043370483037124, 468043370483753320, 468043370484004686, 468043370482564695, 468043370482916034, 468043370483461614, 468043370483318768, 468043370483367135, 468043370483753320, 468043370482475423]"
40,anatomy,0.005889892578125,0.0015869140625,0.9921875,0.0010223388671875,True,C,7.448443412780762,mmlu_1,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468043370482902410, 468043370482902407, 468043370482902406, 468043370482392949, 468043370482380453]","[0.7857344746589661, 0.7372938990592957, 0.7372143864631653, 0.7337971925735474, 0.7275879383087158]",4,"[468043370482976518, 468043370483543101, 468043370482392957, 468043370484099910, 468043370482902407, 468043370482392958, 468043370483495786, 468043370484099910, 468043370482381714, 468043370482902414, 468043370482932085, 468043370482932086, 468043370482530843, 468043370482547247, 468043370483123103, 468043370482392954, 468043370482392854, 468043370483416448, 468043370482902405, 468043370482902402]"
45,anatomy,0.00970458984375,0.000375747680664,0.0017929077148437,0.98828125,True,D,7.560441732406616,mmlu_1,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[468043370482914009, 468043370483067086, 468043370482800164, 468043370482805307, 468043370482369499]","[0.7853913307189941, 0.7633346319198608, 0.7354372143745422, 0.7304883003234863, 0.7214008569717407]",4,"[468043370483143049, 468043370483015197, 468043370482488207, 468043370482487722, 468043370482530188, 468043370482914009, 468043370483067086, 468043370482384087, 468043370482395331, 468043370482800164, 468043370482914009, 468043370483067086, 468043370483493723, 468043370482914017, 468043370482800164, 468043370482914009, 468043370482914015, 468043370482914017, 468043370482914013, 468043370483835580]"
