id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity,confident,add_ids
3,anatomy,0.006256103515625,0.984375,0.005523681640625,0.0020294189453125,True,B,16.03079581260681,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[468043370482528287, 468043370482507367, 468043370482811046, 468043370483026238, 468043370482395512]","[0.7672399878501892, 0.7590359449386597, 0.7513589262962341, 0.7489420771598816, 0.7476587295532227]",4,"[468043370482476687, 468043370482476742, 468043370482395331, 468043370482395333, 468043370482384087, 468043370482507367, 468043370483026241, 468043370483026238, 468043370482811046, 468043370482951908, 468043370482395512, 468043370482492795, 468043370483531345, 468043370483478478, 468043370482385619, 468043370482951907, 468043370483026240, 468043370482951910, 468043370482507367, 468043370483026238]"
8,anatomy,0.014892578125,0.002288818359375,0.98046875,0.0029296875,True,C,8.67549729347229,mmlu_4,"['STAT', 'TEXT', 'TEXT', 'TEXT', 'STAT']","[468043370482926664, 468043370482474574, 468043370482446687, 468043370482474575, 468043370483018066]","[0.8413121700286865, 0.8366358280181885, 0.829024076461792, 0.8252213001251221, 0.8249460458755493]",4,"[468043370482859037, 468043370482545921, 468043370483018066, 468043370482562286, 468043370482859039, 468043370483035830, 468043370483446737, 468043370483480152, 468043370484113406, 468043370483734230, 468043370482562286, 468043370483017354, 468043370482859037, 468043370482545921, 468043370482859039, 468043370482545921, 468043370482859039, 468043370482859037, 468043370483018066, 468043370482828995]"
23,anatomy,0.024169921875,0.0057373046875,0.96484375,0.0032806396484375,True,C,8.521256923675537,mmlu_4,"['STAT', 'STAT', 'TEXT', 'TEXT', 'STAT']","[468043370482854282, 468043370482837975, 468043370482424020, 468043370482489848, 468043370482836547]","[0.7519347071647644, 0.7486129403114319, 0.7462074756622314, 0.7461756467819214, 0.7428674101829529]",4,"[468043370482906090, 468043370482849544, 468043370482507255, 468043370482854282, 468043370482394418, 468043370482424021, 468043370482475634, 468043370483035086, 468043370483030908, 468043370483521757, 468043370482475580, 468043370482854283, 468043370482854278, 468043370483044353, 468043370483078113, 468043370482989361, 468043370483559459, 468043370483038464, 468043370482780680, 468043370482393781]"
28,anatomy,0.95703125,0.0155029296875,0.02392578125,0.002685546875,True,A,10.16193413734436,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482792001, 468043370483049170, 468043370482937211, 468043370483049185, 468043370483030566]","[0.8543586134910583, 0.8389535546302795, 0.8317655920982361, 0.8219190239906311, 0.8145318031311035]",4,"[468043370482792001, 468043370482937211, 468043370482895408, 468043370482371547, 468043370482930304, 468043370483049185, 468043370482779218, 468043370483603472, 468043370482792001, 468043370483038140, 468043370482792001, 468043370482937211, 468043370483346335, 468043370482540123, 468043370482819062, 468043370483071689, 468043370483346335, 468043370483071681, 468043370482792013, 468043370482908757]"
33,anatomy,0.0185546875,0.00933837890625,0.0174560546875,0.953125,True,D,8.580688238143921,mmlu_4,"['PBMD', 'PBMD', 'STAT', 'TEXT', 'TEXT']","[468043370484032740, 468043370484114022, 468043370482528135, 468043370482380386, 468043370482392585]","[0.8243685960769653, 0.8204934597015381, 0.8179616928100586, 0.8132025003433228, 0.80934739112854]",4,"[468043370482854694, 468043370482854704, 468043370482866065, 468043370483134399, 468043370482854739, 468043370482528135, 468043370484032740, 468043370482459762, 468043370484114022, 468043370484099908, 468043370484114022, 468043370482528135, 468043370482875959, 468043370484032740, 468043370482399712, 468043370482528135, 468043370484114022, 468043370482459762, 468043370482875960, 468043370482800798]"
43,anatomy,0.91796875,0.01312255859375,0.0277099609375,0.040283203125,True,A,8.522455930709839,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482914831, 468043370483013001, 468043370482779836, 468043370482937200, 468043370482505676]","[0.8955676555633545, 0.8635115623474121, 0.859119713306427, 0.8555715084075928, 0.8525643944740295]",4,"[468043370482914831, 468043370483013001, 468043370482937200, 468043370482779836, 468043370482995552, 468043370482914831, 468043370483013001, 468043370482937200, 468043370482995552, 468043370482779836, 468043370482371581, 468043370482371414, 468043370482371446, 468043370482371897, 468043370482925916, 468043370482874351, 468043370482978491, 468043370482543855, 468043370484071492, 468043370482543835]"
48,anatomy,0.057861328125,0.90625,0.01007080078125,0.02734375,True,B,8.396491765975952,mmlu_4,"['STAT', 'STAT', 'TEXT', 'STAT', 'STAT']","[468043370482905617, 468043370482831022, 468043370482486966, 468043370483017212, 468043370483019857]","[0.7363969683647156, 0.7292101383209229, 0.7292014360427856, 0.7284755706787109, 0.7273681163787842]",4,"[468043370482521586, 468043370482905617, 468043370482788685, 468043370482880417, 468043370482995986, 468043370482880417, 468043370482905617, 468043370483946273, 468043370483081747, 468043370482529723, 468043370482905617, 468043370482880417, 468043370483081747, 468043370483946273, 468043370482867063, 468043370482850848, 468043370482905617, 468043370482529723, 468043370482880417, 468043370483946273]"
53,anatomy,0.01446533203125,0.019775390625,0.953125,0.01202392578125,False,B,9.106179475784302,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482816518, 468043370482543003, 468043370482853166, 468043370483001133, 468043370483000053]","[0.8337699174880981, 0.8235102295875549, 0.8170216083526611, 0.8143361210823059, 0.8121472001075745]",4,"[468043370482816518, 468043370483001133, 468043370482853167, 468043370482542993, 468043370483649352, 468043370482542993, 468043370483001133, 468043370482853165, 468043370483319203, 468043370482816518, 468043370482816518, 468043370482783188, 468043370483000054, 468043370483001133, 468043370483649352, 468043370483319203, 468043370483000054, 468043370483829765, 468043370484089427, 468043370484005388]"
63,anatomy,0.06298828125,0.92578125,0.006622314453125,0.005157470703125,True,B,8.86163330078125,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482839395, 468043370483075501, 468043370483006869, 468043370482917364, 468043370482995550]","[0.7754049897193909, 0.7734767198562622, 0.7714803218841553, 0.768119215965271, 0.76413494348526]",4,"[468043370483075501, 468043370483210526, 468043370483075504, 468043370483065946, 468043370483075505, 468043370483075501, 468043370482839395, 468043370482371268, 468043370483075504, 468043370483075505, 468043370483075505, 468043370483075504, 468043370483284621, 468043370482371271, 468043370483210526, 468043370483075505, 468043370482371271, 468043370482371262, 468043370483075501, 468043370482371263]"
68,anatomy,0.05029296875,0.0098876953125,0.890625,0.04736328125,True,C,8.778982162475586,mmlu_4,"['PBMD', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370483453753, 468043370483035345, 468043370482807653, 468043370482499147, 468043370483000754]","[0.7875868678092957, 0.7681572437286377, 0.7642442584037781, 0.7539680600166321, 0.7538249492645264]",4,"[468043370483079755, 468043370483079739, 468043370482790048, 468043370483079777, 468043370482888227, 468043370483079777, 468043370483035345, 468043370482831432, 468043370482790048, 468043370482444549, 468043370483079777, 468043370483079739, 468043370482944659, 468043370482897382, 468043370482888227, 468043370483035345, 468043370482897393, 468043370482888227, 468043370483875359, 468043370482831432]"
